,id,parent,name,tag,typecode,biz_type,lng,lat,citycode,adcode,shopinfo,gridcode,navi_poiid,entrance_lng,entrance_lat,business_area,exit_lng,exit_lat,indoor_map,indoor_cpid,indoor_floor,indoor_truefloor,indoor_cmsid,biz_rating,biz_cost
878723,B0FFH0YP1U,,万户仓(东三环店),,070501,,116.45607207749501,39.8859534612545,10,110105,0,5916636612,,,,劲松,,,0,,,,,,
969274,B0FFGFQLLU,,曲美物流仓储中心,,070501,,116.46729431113701,40.0571108735362,10,110105,0,6016037702,K50F048020_247083,,,,,,0,,,,,,
970020,B0FFJJ9DLJ,,正鑫文华印刷物资有限公司昌平库房,,070501,,116.46097871538299,40.232628518653705,10,110114,0,6016238701,,,,,,,0,,,,,,
974685,B0FFHLMNLX,,冻品库,,070501,,116.46867151582799,39.853886690296896,10,110105,0,5916632712,,,,十八里店,,,0,,,,,,
986683,B000A87SMU,,八王坟客运站物流快运中心,,070501,,116.471885305121,39.9024887120139,10,110105,0,5916638810,,,,南磨房,,,0,,,,,,
1007946,B0FFG4YQ29,,百世物流科技(中国)有限公司快去火沙分拨,,070501,,116.474188804154,40.088858077037,10,110113,0,6016130821,,,,北七家,,,0,,,,,3.5,
1013883,B0FFH13KTH,,小蜜蜂陶瓷提货处,,070501,,116.48396885493099,39.8358679769885,10,110105,0,5916630910,,,,十八里店,,,0,,,,,,
1043650,B0FFGCXD65,,无忧蚂蚁,,070501,,116.504147027244,39.827956361584796,10,110105,0,5916549012,,,,十八里店,,,0,,,,,,
1062695,B000A8839Q,,鑫海仓储中心,,070501,,116.501842862878,40.0406884782643,10,110105,0,6016045001,K50F048021_4399,,,,,,0,,,,,,
1064985,B0FFHDXXS9,,北京兴农天力农机服务合作社农产品仓储冷链物流基地,,070501,,116.49273087205799,40.185972681337,10,110113,0,6016232912,,,,,,,0,,,,,3.5,
1069411,B000A9V1S2,,朝批股份物流配送中心二号库,,070501,,116.50775072923099,39.8352206203506,10,110105,0,5916640110,J50F002021_287213,,,十八里店,,,0,,,,,,
